brand,model,fuel type,transmission,price,month,units_sold,year
Ford,EcoSport,,,3205493.443,Jul-23,317,2022
Mercedes,C-Class,,,2784933.928,Jul-19,155,2020
Mercedes,E-Class,,,3560340.11,Apr-22,754,2022
Kia,Seltos,,,1571855.049,Mar-19,871,2022
Toyota,Camry,,,1244953.437,Feb-22,392,2023
Honda,CR-V,,,512152.2599,Jul-19,351,2024
Kia,Sonet,,,1609010.488,Nov-18,441,2021
Tata,Harrier 2019-2023,Diesel,"Manual, Automatic",1563363.394,"Aug, 2023",260,2018
BMW,X5,,,2619214.096,Jul-24,428,2022
Mahindra,Thar,,,2016471.95,Aug-20,702,2022
Kia,Sonet,,,557564.4533,May-23,655,2021
BMW,3 Series,,,2677042.878,Nov-22,152,2021
Maruti,Brezza,,,766191.014,Nov-19,894,2021
MG,Comet EV,Unknown,Unknown,714192.6582,"Nov, 2024",201,2022
Ford,Endeavour,,,1755742.402,Sep-20,660,2018
BMW,X1,,,3431550.723,Feb-18,374,2020
Tata,Altroz,,,1384395.741,May-22,104,2018
Tata,Curvv,"Diesel, Petrol","Manual, Automatic",1007268.441,"Dec, 2024",972,2025
Kia,Seltos,,,3234683.683,Dec-18,984,2024
Kia,Carens,,,1315253.258,Sep-25,521,2023
Ford,Endeavour,,,2119983.207,Jan-21,496,2020
Mercedes,C-Class,,,687075.1003,Jan-24,523,2024
Tata,Nexon,,,780939.62,Jul-19,272,2022
Kia,Carens,,,3174823.307,Jan-23,875,2018
Kia,Carens,,,3958177.543,Dec-25,85,2021
BMW,X5,,,2803185.175,Jul-20,412,2019
Toyota,Camry,,,3052146.431,Feb-20,867,2019
Toyota,Corolla,,,2734026.831,Sep-21,507,2023
Mahindra,Scorpio,,,3743446.215,Sep-22,712,2024
Kia,Carens,,,1308337.846,Sep-25,436,2018
Mercedes,C-Class,,,3550461.114,Jan-20,439,2020
Maruti Suzuki,Alto,"CNG, Petrol",Manual,362310.9151,"Sep, 2023",238,2020
Maruti,Baleno,,,3322362.324,Jan-24,264,2023
Toyota,Corolla,,,1157538.35,Jan-23,758,2025
Honda,City,Petrol,"Manual, Automatic",1177411.79,"Nov, 2024",79,2025
Ford,EcoSport,,,3057378.151,Jan-22,358,2018
BMW,3 Series,,,1504162.773,Sep-22,433,2025
Maruti,Brezza,,,3855289.846,Nov-23,322,2021
Honda,CR-V,,,3676864.96,Aug-23,206,2019
Toyota,Urban Cruiser Taisor,"CNG, Petrol","Manual, Automatic",757824.2475,"Aug, 2024",319,2022
Volkswagen,Virtus,Petrol,"Manual, Automatic",1166458.67,"Nov, 2024",791,2018
BMW,3 Series,,,3184343.626,Feb-24,566,2024
BMW,3 Series,,,3998157.273,May-19,83,2024
Mahindra,XUV500,,,3874103.426,Jun-18,342,2023
Mercedes,GLA,,,1471160.876,Jul-21,782,2018
Honda,Civic,,,556997.4121,Dec-21,266,2021
Honda,CR-V,,,3547098.681,Nov-20,807,2019
Tata,Harrier,,,3433469.535,Jun-18,634,2020
Hyundai,Creta,,,424883.7662,Apr-24,179,2023
Ford,Endeavour,,,1754895.992,Sep-20,548,2020
Hyundai,Creta,,,1076916.174,Nov-23,976,2018
Renault,Triber,Petrol,"Manual, Automatic",559471.39,"Oct, 2024",89,2023
Tata,Curvv,"Diesel, Petrol","Manual, Automatic",1001393.038,"Sep, 2024",667,2024
Mercedes,C-Class,,,3334406.938,Aug-23,487,2024
Mercedes,C-Class,,,2034192.798,Mar-20,349,2025
Honda,Civic,,,810164.576,Nov-18,299,2019
Mercedes,E-Class,,,2085252.798,Dec-19,779,2023
Volkswagen,Taigun,Petrol,"Manual, Automatic",1182521.546,"Nov, 2024",174,2021
Ford,EcoSport,,,491299.1208,May-22,389,2025
Mercedes,E-Class,,,2018622.389,Jul-19,901,2023
BMW,3 Series,,,2214365.551,May-22,562,2025
Maruti,Swift,,,3678291.909,Jan-20,848,2018
Toyota,Camry,,,1275263.741,Aug-20,856,2021
Kia,Sonet,,,2288446.265,Nov-23,78,2022
Hyundai,i20,,,1945765.928,Sep-18,566,2021
Mahindra,Thar,,,2496940.786,Jun-20,333,2018
Renault,Kiger,Petrol,"Manual, Automatic",613633.0456,"Oct, 2024",438,2024
Toyota,Hilux,Diesel,"Manual, Automatic",3041581.198,"Aug, 2024",94,2025
Tata,Punch,"CNG, Petrol","Manual, Automatic",628580.7754,"Nov, 2024",766,2022
BMW,X1,,,1966341.45,Mar-21,72,2020
Honda,Civic,,,561563.4779,Dec-21,806,2024
Tata,Tiago,"CNG, Petrol","Manual, Automatic",483716.7622,"Nov, 2024",566,2022
BMW,X5,,,2851729.319,Dec-18,753,2024
Tata,Harrier,,,2625656.089,Apr-21,893,2020
Ford,EcoSport,,,3190783.045,Jan-18,436,2025
Honda,City,Petrol,"Manual, Automatic",1154326.99,"Aug, 2024",612,2020
Maruti Suzuki,Swift,"CNG, Petrol","Manual, Automatic",669639.9745,"Sep, 2024",474,2022
BMW,X5,,,470579.5192,Jun-24,489,2021
Mercedes,E-Class,,,1205832.465,Dec-21,908,2022
BMW,X5,,,2817814.272,Dec-20,504,2023
Hyundai,i20,,,3869334.887,Jan-19,605,2024
Tata,Altroz,,,3409389.173,Oct-24,184,2021
Skoda,Kodiaq,Petrol,Automatic,4013908.781,"Sep, 2024",201,2021
Hyundai,i20,,,2064974.093,Jul-23,627,2021
Maruti Suzuki,Baleno,"CNG, Petrol","Manual, Automatic",662270.7233,"Aug, 2024",766,2020
Maruti Suzuki,Brezza,"CNG, Petrol","Manual, Automatic",825915.6573,"Oct, 2024",120,2022
Ford,EcoSport,,,3240913.332,Jan-18,426,2023
BMW,X5,,,1718225.948,Nov-18,483,2022
Mahindra,Scorpio,,,1637791.707,May-25,779,2022
Kia,Carens,,,1653266.392,Apr-20,585,2022
Mahindra,Thar,,,3829831.738,May-21,958,2024
Volkswagen,Tiguan,Petrol,Automatic,3530553.702,"Nov, 2024",247,2024
Tata,Altroz,,,905786.7189,Mar-25,115,2025
Maruti,Brezza,,,3166442.462,Aug-21,149,2023
Ford,EcoSport,,,1832912.786,Sep-24,407,2021
Tata,Tigor,"CNG, Petrol","Manual, Automatic",590762.7182,"Aug, 2024",460,2020
Toyota,Fortuner,,,3087952.227,Jun-24,374,2020
Renault,Triber,Petrol,"Manual, Automatic",619059.0596,"Nov, 2024",103,2025
MG,ZS EV,Unknown,Unknown,1874302.827,"Nov, 2024",703,2025
Maruti Suzuki,Alto K10,"CNG, Petrol","Manual, Automatic",425337.3741,"Nov, 2024",637,2023
Tata,Harrier,,,521910.7231,Nov-18,460,2022
Volkswagen,Taigun,Petrol,"Manual, Automatic",1180540.543,"Sep, 2024",56,2023
Tata,Nexon,Petrol + 2,"Manual, Automatic",814262.3404,"Nov, 2024",420,2020
Honda,Accord,,,3244289.567,Apr-22,598,2025
Tata,Altroz,,,552546.7067,Aug-21,459,2018
Hyundai,i20,,,3104964.166,Dec-19,772,2020
Mercedes,E-Class,,,1618104.053,Jun-21,829,2019
Toyota,Corolla,,,3326570.276,Jul-23,868,2019
Honda,Civic,,,1399219.985,Nov-23,315,2020
Honda,Accord,,,470144.7958,Jan-23,967,2025
Kia,Seltos,,,1285697.212,Feb-18,862,2018
Ford,Figo,,,3667382.91,Jul-24,944,2020
Hyundai,i10,,,2122352.231,May-23,153,2018
Mahindra,Thar,,,2907179.279,May-18,136,2021
Hyundai,i20,Petrol,"Manual, Automatic",692150.956,"Nov, 2024",602,2021
Maruti,Baleno,,,2655284.226,Oct-25,840,2019
Maruti,Brezza,,,3187366.485,Aug-21,166,2018
Mercedes,E-Class,,,2559477.738,Jun-19,474,2024
Maruti Suzuki,Ciaz,Petrol,"Manual, Automatic",936402.5237,"Oct, 2024",53,2021
Toyota,Corolla,,,1670787.342,Sep-24,925,2019
Ford,Endeavour,,,802008.3916,May-23,659,2018
Maruti Suzuki,Swift 2021 - 2023,"CNG, Petrol","Manual, Automatic",598127.9939,"Mar, 2024",123,2019
Hyundai,i10,,,1362852.871,Feb-24,629,2021
Kia,Carens,,,1104897.62,Dec-22,772,2022
Mahindra,XUV500,,,545493.8483,May-19,517,2021
Toyota,Camry 2022-2023,Petrol,Automatic,4603579.341,"Jul, 2024",358,2018
BMW,X1,,,3366687.479,Nov-24,841,2018
Honda,CR-V,,,1427739,Mar-22,320,2022
Ford,Figo,,,2874962.277,Aug-24,520,2018
BMW,X5,,,2015994.491,Aug-23,702,2022
Ford,EcoSport,,,416395.7277,Jan-22,597,2021
Honda,CR-V,,,610513.0724,Feb-24,146,2020
Mahindra,Thar,,,3500994.727,Oct-19,748,2021
Hyundai,i20,,,1390234.598,Mar-24,595,2023
Renault,KWID,Petrol,"Manual, Automatic",447147.7378,"Oct, 2024",108,2019
Hyundai,i20,,,1828133.174,Jun-20,948,2020
Tata,Altroz,,,3592597.631,Aug-20,810,2018
Mercedes,E-Class,,,3287834.293,Jun-25,586,2025
Hyundai,Kona Electric,Unknown,Unknown,2405130.224,"Jan, 2024",263,2022
Mahindra,E Verito,Unknown,Unknown,890237.0707,"Jul, 2022",821,2019
Mahindra,Thar,,,2469403.259,Jun-20,542,2022
Ford,Endeavour,,,3289556.307,Apr-23,117,2019
Toyota,Camry,,,2787693.172,Feb-25,708,2018
Maruti,Brezza,,,3169910.709,Aug-21,589,2024
Honda,Accord,,,2585017.177,Dec-23,555,2021
Mahindra,XUV500,,,2228085.764,Jul-19,465,2022
Maruti Suzuki,S-Presso,"CNG, Petrol","Manual, Automatic",429942.0996,"Oct, 2024",674,2020
Kia,Carnival,Diesel,Automatic,6389245.143,"Dec, 2024",236,2023
Mahindra,Scorpio,,,2132875.374,Jan-22,679,2020
Mahindra,Scorpio,,,3752961.835,Sep-22,424,2018
Maruti,Brezza,,,2147014.968,Apr-24,247,2025
Mahindra,Scorpio,,,725894.3196,Dec-25,845,2021
Maruti Suzuki,Grand Vitara,"CNG, Petrol","Manual, Automatic",1088048.413,"Dec, 2024",135,2020
Tata,Altroz,,,1379837.011,May-22,946,2023
BMW,X1,,,1170364.485,Jul-18,606,2021
Hyundai,Venue,"Diesel, Petrol","Manual, Automatic",803358.2111,"Dec, 2024",261,2024
Toyota,Vellfire,Petrol,Automatic,12228766.6,"Dec, 2024",948,2020
Hyundai,Verna,Petrol,"Manual, Automatic",1086591.481,"Nov, 2024",733,2024
Tata,Nexon,,,3243251.023,Aug-23,960,2024
Toyota,Innova Hycross,Petrol,Automatic,1879473.647,"Sep, 2024",814,2023
Hyundai,IONIQ 5,Unknown,Unknown,4589062.492,"Sep, 2024",586,2019
Maruti,Brezza,,,3283208.517,Sep-18,313,2023
Maruti Suzuki,Ignis,Petrol,"Manual, Automatic",564072.9484,"Nov, 2024",304,2022
Hyundai,Tucson,"Diesel, Petrol",Automatic,2880151.447,"Sep, 2024",176,2018
Toyota,Camry,,,2568085.927,Aug-24,711,2019
Maruti Suzuki,Alto K10,"CNG, Petrol","Manual, Automatic",391509.807,"Dec, 2024",916,2023
BMW,X1,,,942029.725,Apr-18,259,2025
Maruti,Brezza,,,1871509.805,Nov-18,992,2019
BMW,X1,,,3554011.661,Jun-25,866,2020
Ford,EcoSport,,,3561690.84,Dec-18,315,2018
Honda,Accord,,,467734.146,Jan-23,300,2021
Toyota,Fortuner,,,2656519.928,Aug-20,979,2021
Hyundai,i10,,,886834.9053,Mar-23,344,2018
Maruti Suzuki,Wagon R,"CNG, Petrol","Manual, Automatic",553950.3421,"Dec, 2024",246,2018
Mahindra,XUV500,,,1227828.222,Aug-20,642,2018
Ford,Endeavour,,,723970.5491,Apr-21,741,2021
Hyundai,IONIQ 5,Unknown,Unknown,4627905.095,"Oct, 2024",235,2019
Honda,CR-V,,,3677099.581,Aug-23,963,2022
Hyundai,i20,,,1353504.514,Mar-24,208,2025
Mercedes,GLA,,,1927699.718,May-20,740,2022
Kia,Sonet,,,1015196.169,Jun-20,176,2025
Tata,Nexon 2017-2023,"Diesel, Petrol","Manual, Automatic",799500.9093,"Nov, 2023",483,2020
Toyota,Fortuner,,,3198505.377,Sep-22,628,2021
Mercedes,C-Class,,,1695595.039,Aug-24,998,2018
Mercedes,E-Class,,,568160.2582,Oct-22,751,2020
Kia,Sonet,,,815634.4013,Mar-22,111,2025
Toyota,Corolla,,,1809380.032,Oct-23,352,2019
Honda,CR-V,,,3398891.175,Dec-24,749,2020
BMW,3 Series,,,3949910.511,Jun-22,732,2020
Toyota,Fortuner,,,1230497.48,May-20,394,2018
Maruti Suzuki,Ignis,Petrol,"Manual, Automatic",604382.7109,"Nov, 2024",257,2021
Ford,EcoSport,,,573307.6976,Dec-25,205,2021
Toyota,Camry,,,4004235.187,Aug-19,315,2022
Jeep,Compass,Diesel,"Manual, Automatic",1926366.088,"Nov, 2024",224,2025
Renault,KWID,Petrol,"Manual, Automatic",455761.3227,"Nov, 2024",560,2024
BMW,3 Series,,,1316719.304,Jun-21,997,2019
Maruti Suzuki,Baleno,"CNG, Petrol","Manual, Automatic",635748.5541,"Dec, 2024",842,2024
Honda,Accord,,,540114.7522,May-23,515,2022
MG,Astor,Petrol,"Manual, Automatic",992502.4742,"Oct, 2024",363,2019
Hyundai,Verna,Petrol,"Manual, Automatic",1095144.425,"Oct, 2024",861,2018
Nissan,Magnite 2020-2023,Petrol,"Manual, Automatic",604751.1522,"May, 2024",967,2019
Ford,EcoSport,,,3226067.027,Jan-18,369,2022
Mercedes,E-Class,,,3272230.152,Jun-25,65,2021
Mercedes,E-Class,,,2857019.532,Feb-20,369,2021
Citroen,eC3,Unknown,Unknown,1177289.475,"Nov, 2024",671,2020
Maruti,Swift,,,1288869.369,Nov-20,238,2022
Tata,Altroz,,,682765.8004,Feb-24,999,2024
Tata,Altroz,Petrol + 2,"Manual, Automatic",651595.3575,"Aug, 2024",349,2023
Maruti,Swift,,,2256104.277,Oct-21,928,2024
Tata,Harrier,Diesel,"Manual, Automatic",1541868.424,"Oct, 2024",190,2021
Mercedes,C-Class,,,1911749.12,Feb-20,307,2018
Skoda,Kodiaq,Petrol,Automatic,4011785.652,"Aug, 2024",410,2025
Hyundai,i10,,,610405.4092,Aug-18,692,2020
Mahindra,Thar,,,1612693.16,Nov-25,642,2025
Skoda,Superb,Petrol,Automatic,5400067.003,"Dec, 2024",223,2018
Maruti Suzuki,Grand Vitara,"CNG, Petrol","Manual, Automatic",1108020.25,"Nov, 2024",408,2018
Mahindra,Scorpio,,,2547703.395,Jul-19,52,2025
Citroen,C3,Petrol,Manual,594297.4966,"Oct, 2024",66,2025
Mahindra,Thar,,,591749.6176,Jul-23,154,2018
Mahindra,Thar,,,1633830.707,Nov-25,458,2021
Nissan,Magnite,Petrol,"Manual, Automatic",617909.3028,"Dec, 2024",433,2021
Mahindra,Scorpio,,,1870127.144,Jul-21,940,2021
Maruti,Baleno,,,1143428.745,Sep-18,848,2018
Skoda,Kodiaq,Petrol,Automatic,4013941.575,"Dec, 2024",539,2025
Mahindra,Thar,,,1301733.9,Jan-21,221,2022
Honda,CR-V,,,3896734.872,Jun-18,770,2019
Toyota,Fortuner,,,2686055.412,Aug-20,410,2025
Hyundai,Creta,,,1052757.674,Aug-19,477,2024
Hyundai,IONIQ 5,Unknown,Unknown,4622031.604,"Oct, 2024",566,2019
Ford,EcoSport,,,3251583.691,Nov-25,306,2021
Toyota,Fortuner,,,2013344.333,Feb-25,548,2022
Jeep,Compass,Diesel,"Manual, Automatic",1901971.388,"Dec, 2024",694,2018
Hyundai,i20,,,1592229.551,Apr-23,467,2025
Maruti Suzuki,Jimny,Petrol,"Manual, Automatic",1239486.032,"Nov, 2024",520,2022
Maruti Suzuki,Ertiga,"CNG, Petrol","Manual, Automatic",854538.2665,"Dec, 2024",341,2025
Mahindra,XUV 3XO,"Diesel, Petrol","Manual, Automatic",771494.032,"Aug, 2024",768,2023
Mercedes,E-Class,,,2570971.395,Jun-21,507,2023
Honda,Accord,,,2472902.117,Jul-18,896,2021
Maruti Suzuki,Grand Vitara,"CNG, Petrol","Manual, Automatic",1121939.024,"Nov, 2024",604,2018
BMW,X1,,,3686132.95,Nov-20,757,2023
Ford,EcoSport,,,3576804.303,Sep-24,178,2021
Ford,Endeavour,,,722096.1907,Apr-21,972,2020
Honda,CR-V,,,3577078.787,Nov-20,271,2018
BMW,3 Series,,,488303.5075,Feb-21,121,2024
Honda,Accord,,,3324143.787,Apr-22,477,2025
Tata,Harrier,,,3029484.191,Jan-19,411,2022
Mahindra,XUV400 EV,Unknown,Unknown,1523486.435,"Oct, 2024",318,2023
Hyundai,Aura,"CNG, Petrol","Manual, Automatic",649563.7753,"Nov, 2024",483,2025
Kia,Carens,,,2985496.139,Jun-19,762,2025
Renault,Kiger,Petrol,"Manual, Automatic",618697.9649,"Nov, 2024",600,2022
Ford,EcoSport,,,516318.4489,May-22,317,2023
Tata,Altroz,,,1755842.129,Dec-21,840,2022
Ford,EcoSport,,,1048789.147,Sep-23,651,2022
Maruti Suzuki,Ertiga,"CNG, Petrol","Manual, Automatic",890080.3896,"Nov, 2024",894,2021
Toyota,Fortuner,,,1124436.373,Dec-24,71,2022
Tata,Curvv,"Diesel, Petrol","Manual, Automatic",1020120.294,"Nov, 2024",551,2023
Tata,Nexon 2017-2023,"Diesel, Petrol","Manual, Automatic",804108.1451,"Sep, 2023",487,2018
Tata,Nexon,,,1479985.85,Mar-18,184,2021
Mercedes,GLA,,,1102456.523,Apr-24,144,2020
Ford,EcoSport,,,703918.9544,Feb-24,203,2019
Maruti,Brezza,,,684103.9825,Feb-20,629,2019
Hyundai,Creta,,,3950768.814,Aug-24,270,2020
BMW,3 Series,,,2474335.429,Apr-25,833,2018
Maruti,Baleno,,,938979.4488,Jan-20,740,2024
Maruti Suzuki,Ciaz,Petrol,"Manual, Automatic",932858.1575,"Aug, 2024",329,2024
Hyundai,i20,,,3975580.537,Apr-23,665,2022
BMW,X1,,,2356406.681,Feb-21,900,2022
Maruti,Brezza,,,1606813.943,Jun-21,947,2022
Maruti,Baleno,,,3781948.216,May-23,547,2023
Hyundai,Creta,,,2256414.01,Aug-25,922,2023
Hyundai,i20,,,3802265.658,Jan-25,88,2023
Maruti,Brezza,,,1619555.297,Jan-18,131,2021
Kia,Sonet,,,711094.61,Jul-19,572,2025
Kia,Sonet 2020-2023,"Diesel, Petrol","Manual, Automatic",759715.6876,"Dec, 2023",955,2019
Hyundai,i20,,,2951238.985,Dec-21,208,2022
Mercedes,C-Class,,,434518.7716,Nov-22,266,2018
Ford,Endeavour,,,3496377.644,Apr-19,247,2019
Maruti,Baleno,,,1488701.218,Jun-23,725,2023
BMW,3 Series,,,510420.6125,Nov-23,298,2019
Honda,Accord,,,2419110.714,Aug-22,744,2023
Maruti,Swift,,,2109484.027,Jun-22,678,2023
Mahindra,Thar,,,1630921.304,Sep-22,160,2024
Mercedes,GLA,,,1436745.454,Jul-21,728,2019
Hyundai,IONIQ 5,Unknown,Unknown,4611534.478,"Sep, 2024",100,2019
Toyota,Camry,,,514522.2454,Feb-24,705,2020
Hyundai,i20,,,498777.5897,Jun-21,875,2019
Hyundai,Exter,"CNG, Petrol","Manual, Automatic",583038.3542,"Dec, 2024",406,2019
Kia,Sonet,,,3223514.712,Jun-22,256,2018
Honda,CR-V,,,1353305.989,Dec-22,448,2018
Maruti,Brezza,,,3092613.421,Mar-22,733,2018
Ford,Figo,,,2287618.099,Aug-19,262,2022
Toyota,Camry,,,3832004.102,Feb-20,741,2023
Hyundai,i10,,,1671687.218,Dec-22,675,2018
Honda,Accord,,,3516440.936,Dec-24,950,2024
Volkswagen,Virtus,Petrol,"Manual, Automatic",1159706.445,"Dec, 2024",105,2018
Tata,Altroz,,,2096187.05,Dec-22,789,2025
BMW,3 Series,,,3252629.719,Jul-22,289,2019
Tata,Curvv,"Diesel, Petrol","Manual, Automatic",998141.9312,"Dec, 2024",221,2018
Hyundai,Aura,"CNG, Petrol","Manual, Automatic",638707.1823,"Oct, 2024",972,2022
Mercedes,GLA,,,1644945.078,Mar-25,717,2025
Mahindra,Marazzo,Diesel,Manual,1389975.083,"Sep, 2024",253,2018
Mahindra,XUV400 EV,Unknown,Unknown,1575331.032,"Jul, 2024",94,2018
Mahindra,Scorpio,,,1166108.592,Apr-19,620,2018
Mahindra,XUV700,"Diesel, Petrol","Manual, Automatic",1342352.514,"Nov, 2024",308,2023
Toyota,Camry 2022-2023,Petrol,Automatic,4644508.599,"Jul, 2024",664,2024
Skoda,Kushaq,Petrol,"Manual, Automatic",1058287.493,"Nov, 2024",268,2019
Mercedes,GLA,,,1422149.104,Mar-19,161,2020
Mahindra,Thar,,,3102956.829,Aug-24,942,2018
Hyundai,i10,,,837093.9709,May-24,558,2022
Maruti Suzuki,Swift,"CNG, Petrol","Manual, Automatic",644473.2261,"Nov, 2024",650,2018
Kia,Seltos,,,1323393.514,Apr-18,709,2022
Honda,CR-V,,,1714544.697,Feb-25,949,2023
Hyundai,Exter,"CNG, Petrol","Manual, Automatic",584330.1066,"Sep, 2024",789,2018
Mercedes,GLA,,,533486.5776,Aug-25,665,2021
Citroen,Aircross,Petrol,"Manual, Automatic",841907.0296,"Sep, 2024",786,2022
Tata,Punch,"CNG, Petrol","Manual, Automatic",598582.8816,"Nov, 2024",823,2025
BMW,X1,,,953674.4645,Dec-20,346,2024
Hyundai,i10,,,446179.3678,Mar-23,429,2022
Hyundai,i20,,,2347843.04,Sep-19,326,2020
Renault,KWID,Petrol,"Manual, Automatic",493985.4015,"Dec, 2024",336,2018
Mercedes,GLA,,,3980255.486,Aug-20,477,2024
Tata,Altroz,,,548581.7645,Aug-21,51,2020
Mahindra,Thar,,,2621293.505,Jun-25,743,2023
Maruti,Brezza,,,2869127.025,Aug-21,551,2022
Ford,Endeavour,,,676644.7317,Jan-18,53,2019
Mahindra,XUV500,,,1057571.246,Feb-19,821,2023
Honda,CR-V,,,498418.5884,Feb-18,909,2025
Mahindra,Thar,,,2311604.226,Sep-20,757,2019
Honda,CR-V,,,3039668.476,Jul-24,620,2021
Hyundai,i20,,,3955194.917,Apr-23,385,2025
Hyundai,Alcazar 2021-2023,"Diesel, Petrol","Manual, Automatic",1692921.98,"Jul, 2024",516,2019
Mercedes,C-Class,,,1692737.499,Aug-24,676,2019
Tata,Nexon,,,3013537.007,Feb-22,83,2019
Maruti,Baleno,,,2360630.14,Dec-24,409,2020
Ford,Figo,,,1903023.939,Aug-21,901,2018
Tata,Punch,"CNG, Petrol","Manual, Automatic",606615.8535,"Oct, 2024",550,2020
BMW,X5,,,2040587.233,Jul-23,177,2019
Tata,Harrier,,,1368157.001,Apr-18,566,2022
BMW,X5,,,381951.6038,Oct-20,524,2022
Tata,Altroz,,,3860352.672,Jul-21,912,2023
Honda,Civic,,,673668.3619,Mar-25,229,2018
Citroen,Aircross,Petrol,"Manual, Automatic",857363.3383,"Nov, 2024",172,2025
MG,ZS EV,Unknown,Unknown,1877699.316,"Nov, 2024",571,2018
BMW,X5,,,2825223.803,Jun-24,924,2022
Toyota,Fortuner,,,2640241.061,Jun-18,270,2023
Honda,CR-V,,,3785146.707,Sep-24,156,2025
Maruti,Baleno,,,690523.1261,Jan-23,442,2022
Maruti,Swift,,,3624448.311,Jun-23,63,2022
Hyundai,i20,,,1282173.743,Mar-24,869,2021
Maruti Suzuki,Swift 2021 - 2023,"CNG, Petrol","Manual, Automatic",590565.627,"Jan, 2024",266,2022
Maruti Suzuki,XL6,"CNG, Petrol","Manual, Automatic",1189131.172,"Aug, 2024",545,2019
Mahindra,Thar,,,1048216.783,Jun-20,279,2023
Volkswagen,Taigun,Petrol,"Manual, Automatic",1184043.058,"Sep, 2024",87,2020
Mahindra,XUV400 EV,Unknown,Unknown,1574967.68,"Aug, 2024",282,2024
Kia,Carens,,,3610256.859,Nov-25,426,2022
Mahindra,XUV300,"Diesel, Petrol","Manual, Automatic",794909.4341,"Mar, 2024",619,2020
Kia,Carens,,,1234879.611,Dec-19,309,2020
Tata,Altroz,,,3455273.727,Apr-19,814,2023
Mahindra,Scorpio,,,1627169.104,May-25,133,2023
Honda,CR-V,,,2117108.636,Apr-20,584,2022
Mahindra,Scorpio,,,3365078.831,Jul-25,709,2023
Tata,Harrier,,,1240476.191,Nov-21,242,2023
Mahindra,Scorpio-N,"Diesel, Petrol","Manual, Automatic",1424321.106,"Aug, 2024",605,2019
Hyundai,i10,,,1695034.456,Dec-22,842,2022
Maruti Suzuki,Dzire 2018-2023,"CNG, Petrol","Manual, Automatic",664706.4107,"Jul, 2024",153,2020
Mercedes,GLA,,,1120558.252,Apr-24,105,2023
Toyota,Camry,,,2616574.325,Sep-25,596,2025
Mercedes,E-Class,,,1989011.496,Jan-21,912,2021
Tata,Nexon,,,1296631.951,Jan-21,934,2025
Mercedes,C-Class,,,2334234.412,Dec-22,761,2018
BMW,X1,,,2332940.995,Dec-22,373,2023
Hyundai,Creta,,,998954.0309,Apr-24,541,2020
Ford,EcoSport,,,3503378.011,Dec-18,727,2025
Maruti Suzuki,Alto K10,"CNG, Petrol","Manual, Automatic",356390.236,"Sep, 2024",856,2024
Honda,Civic,,,2808664.506,May-19,695,2021
Toyota,Corolla,,,3678298.296,Sep-20,470,2018
BMW,3 Series,,,439418.0417,May-22,872,2019
Mahindra,Thar,,,1343361.289,Sep-25,357,2024
Hyundai,Verna,Petrol,"Manual, Automatic",1081589.073,"Sep, 2024",99,2024
Honda,Civic,,,3511241.061,Aug-20,97,2021
Tata,Altroz,,,2157615.448,Dec-25,700,2018
Honda,City,Petrol,"Manual, Automatic",1166017.17,"Aug, 2024",580,2022
Hyundai,i10,,,856941.5517,Dec-24,725,2024
BMW,X5,,,2033200.932,Jul-23,802,2020
Ford,EcoSport,,,2189784.553,Apr-25,230,2025
Toyota,Fortuner,,,552581.5128,Jan-21,763,2023
Tata,Nexon,,,3983136.059,Sep-18,619,2023
Kia,Carens,,,3662618.652,May-23,475,2019
Mercedes,C-Class,,,2289572.636,Oct-21,708,2018
Renault,Kiger,Petrol,"Manual, Automatic",610429.0188,"Dec, 2024",102,2024
Mercedes,GLA,,,1311401.572,Oct-18,502,2022
Ford,EcoSport,,,2987606.245,Jun-25,301,2022
Tata,Nexon,,,1347521.353,Jan-24,224,2020
Hyundai,i10,,,3397478.455,Jul-18,440,2025
Kia,Sonet,,,2405741.41,Aug-23,609,2022
Hyundai,i10,,,1210157.632,Aug-22,480,2019
Tata,Punch,"CNG, Petrol","Manual, Automatic",576189.6653,"Aug, 2024",819,2024
Honda,Civic,,,3812871.379,Oct-18,600,2021
Honda,Accord,,,520032.2899,Jan-23,571,2024
Toyota,Camry,,,3054189.574,Feb-20,939,2023
Ford,Endeavour,,,1054583.008,Jan-25,153,2018
Ford,EcoSport,,,1402377.573,Apr-22,710,2021
BMW,X1,,,534811.874,Mar-21,389,2024
Hyundai,i20,,,1317287.455,Jan-25,608,2021
Maruti Suzuki,Swift 2021 - 2023,"CNG, Petrol","Manual, Automatic",607565.7699,"Nov, 2023",100,2020
Tata,Altroz,,,2968045.418,Sep-21,894,2021
BMW,X5,,,1349023.114,Nov-20,960,2023
Kia,Carnival,Diesel,Automatic,6398498.879,"Dec, 2024",813,2019
Ford,Figo,,,1950059.046,Jul-24,395,2021
Volkswagen,Tiguan,Petrol,Automatic,3558079.992,"Sep, 2024",344,2025
BMW,X1,,,564584.6455,Mar-21,85,2022
Toyota,Glanza,"CNG, Petrol","Manual, Automatic",684444.6357,"Nov, 2024",430,2021
Ford,Figo,,,2028498.238,Mar-25,182,2023
Maruti Suzuki,Celerio,"CNG, Petrol","Manual, Automatic",543462.5209,"Aug, 2024",972,2024
Hyundai,Creta,,,2751513.048,Dec-21,418,2018
Mercedes,E-Class,,,3969621.645,Dec-24,156,2021
Hyundai,i10,,,951871.6062,Aug-22,628,2023
